2026-01-22 14:42:17 | transform_dim_date | INFO | Building date dimension...
2026-01-22 14:42:17 | transform_dim_date | INFO | ✓ Generated 791 dates from 2016-09-01 to 2018-10-31
2026-01-22 14:42:17 | transform_dim_date | INFO | ✓ Added date attributes (year, quarter, month, week, day)
2026-01-22 14:42:18 | transform_dim_date | INFO | ✓ Marked 24 holidays
2026-01-22 14:42:18 | transform_dim_date | INFO | ✓ Date dimension built successfully: 791 rows
2026-01-22 14:42:18 | transform_dim_date | INFO |   - Date range: 2016-09-01 00:00:00 to 2018-10-31 00:00:00
2026-01-22 14:42:18 | transform_dim_date | INFO |   - Weekend days: 226
2026-01-22 14:42:18 | transform_dim_date | INFO |   - Holidays: 24
2026-01-22 14:42:18 | transform_dim_date | INFO |   - Total days: 791
2026-01-22 14:53:44 | transform_dim_products | INFO | ProductDimensionBuilder initialized
2026-01-22 14:53:44 | transform_dim_products | INFO | Building product dimension...
2026-01-22 14:53:44 | extract_products | INFO | ProductsExtractor initialized with path: ./data/raw/olist_products_dataset.csv
2026-01-22 14:53:44 | extract_products | INFO | Starting products extraction...
2026-01-22 14:53:44 | extract_products | INFO | ✓ Loaded 32,951 rows from ./data/raw/olist_products_dataset.csv
2026-01-22 14:53:44 | extract_products | INFO | ✓ Calculated product_volume_cm3 column
2026-01-22 14:53:44 | extract_products | INFO | ✓ Created has_photos flag column
2026-01-22 14:53:44 | extract_products | INFO |   - Unique products: 32,951
2026-01-22 14:53:44 | extract_products | INFO |   - Unique categories: 73
2026-01-22 14:53:44 | extract_products | INFO | ✓ No duplicate product_ids
2026-01-22 14:53:44 | extract_products | WARNING | ⚠ Missing product_category_name: 610 nulls (1.85%)
2026-01-22 14:53:44 | extract_products | INFO |   → These will be labeled as 'Uncategorized' in Transform phase
2026-01-22 14:53:44 | extract_products | WARNING | ⚠ Invalid/missing product_weight_g: 6 records (0.02%)
2026-01-22 14:53:44 | extract_products | WARNING | ⚠ Invalid/missing product_length_cm: 2 records (0.01%)
2026-01-22 14:53:44 | extract_products | WARNING | ⚠ Invalid/missing product_height_cm: 2 records (0.01%)
2026-01-22 14:53:44 | extract_products | WARNING | ⚠ Invalid/missing product_width_cm: 2 records (0.01%)
2026-01-22 14:53:44 | extract_products | INFO |   - Weight stats: min=0g, max=40425g, avg=2276g
2026-01-22 14:53:44 | extract_products | INFO |   - Volume stats: min=168cm³, max=296208cm³, avg=16564cm³
2026-01-22 14:53:44 | extract_products | INFO |   - Top 5 categories: cama_mesa_banho(3029), esporte_lazer(2867), moveis_decoracao(2657), beleza_saude(2444), utilidades_domesticas(2335)
2026-01-22 14:53:44 | extract_products | INFO |   - Products with photos: 32,341 (98.1%)
2026-01-22 14:53:44 | extract_products | INFO | ✓ Product data quality validation passed
2026-01-22 14:53:44 | extract_products | INFO | ✓ Products extraction complete: 32,951 rows
2026-01-22 14:53:44 | transform_dim_products | INFO | ✓ Loaded 32,951 products
2026-01-22 14:53:44 | transform_dim_products | WARNING | ⚠ 974 categories without translation
2026-01-22 14:53:44 | transform_dim_products | INFO | ✓ Translated product categories to English
2026-01-22 14:53:44 | transform_dim_products | INFO | ✓ Assigned category segments
2026-01-22 14:53:44 | transform_dim_products | INFO |   - Category segment distribution:
2026-01-22 14:53:44 | transform_dim_products | INFO |     → Home & Furniture: 9,560 products
2026-01-22 14:53:44 | transform_dim_products | INFO |     → Sports & Leisure: 5,928 products
2026-01-22 14:53:44 | transform_dim_products | INFO |     → Fashion & Beauty: 5,862 products
2026-01-22 14:53:44 | transform_dim_products | INFO |     → Electronics: 3,848 products
2026-01-22 14:53:44 | transform_dim_products | INFO |     → Automotive & Tools: 3,403 products
2026-01-22 14:53:44 | transform_dim_products | INFO |     → Books & Media: 1,369 products
2026-01-22 14:53:44 | transform_dim_products | INFO |     → Other: 1,323 products
2026-01-22 14:53:44 | transform_dim_products | INFO |     → Gifts & Party: 894 products
2026-01-22 14:53:44 | transform_dim_products | INFO |     → Business & Industry: 431 products
2026-01-22 14:53:44 | transform_dim_products | INFO |     → Food & Drinks: 227 products
2026-01-22 14:53:44 | transform_dim_products | INFO |     → Services: 106 products
2026-01-22 14:53:44 | transform_dim_products | INFO | ✓ Product dimension built successfully: 32,951 rows
2026-01-22 14:53:44 | transform_dim_products | INFO |   - Columns: 13
2026-01-22 14:53:44 | transform_dim_products | INFO |   - Category segments: 11
2026-01-22 15:00:11 | transform_dim_payment_type | INFO | PaymentTypeDimensionBuilder initialized
2026-01-22 15:00:11 | transform_dim_payment_type | INFO | Building payment type dimension...
2026-01-22 15:00:11 | extract_payments | INFO | PaymentsExtractor initialized with path: ./data/raw/olist_order_payments_dataset.csv
2026-01-22 15:00:11 | extract_payments | INFO | Starting payments extraction...
2026-01-22 15:00:12 | extract_payments | INFO | ✓ Loaded 103,886 rows from ./data/raw/olist_order_payments_dataset.csv
2026-01-22 15:00:12 | extract_payments | INFO |   - Orders with payments: 99,440
2026-01-22 15:00:12 | extract_payments | INFO |   - Orders with multiple payments: 2,961 (3.0%)
2026-01-22 15:00:12 | extract_payments | INFO |   - Unique payment types: 5
2026-01-22 15:00:12 | extract_payments | INFO |   - Payment types: credit_card, boleto, voucher, debit_card, not_defined
2026-01-22 15:00:12 | extract_payments | INFO |   - Total payment value: R$ 16,008,872.12
2026-01-22 15:00:12 | extract_payments | INFO |   - Average payment: R$ 154.10
2026-01-22 15:00:12 | extract_payments | INFO | ✓ No missing order_ids
2026-01-22 15:00:12 | extract_payments | INFO |   - Payment type distribution:
2026-01-22 15:00:12 | extract_payments | INFO |     → credit_card: 76,795 (73.9%)
2026-01-22 15:00:12 | extract_payments | INFO |     → boleto: 19,784 (19.0%)
2026-01-22 15:00:12 | extract_payments | INFO |     → voucher: 5,775 (5.6%)
2026-01-22 15:00:12 | extract_payments | INFO |     → debit_card: 1,529 (1.5%)
2026-01-22 15:00:12 | extract_payments | INFO |     → not_defined: 3 (0.0%)
2026-01-22 15:00:12 | extract_payments | WARNING | ⚠ Zero payment values: 9 (0.01%)
2026-01-22 15:00:12 | extract_payments | INFO |   - Installments stats: min=0, max=24, avg=2.9
2026-01-22 15:00:12 | extract_payments | WARNING | ⚠ Invalid installments (< 1): 2
2026-01-22 15:00:12 | extract_payments | INFO |   - Max payment sequential: 29 (indicates up to 29 payments per order)
2026-01-22 15:00:12 | extract_payments | INFO | ✓ Payment data quality validation passed
2026-01-22 15:00:12 | extract_payments | INFO | ✓ Payments extraction complete: 103,886 rows
2026-01-22 15:00:12 | transform_dim_payment_type | INFO | ✓ Found 5 unique payment types
2026-01-22 15:00:12 | transform_dim_payment_type | INFO | ✓ Payment type dimension built successfully: 5 rows
2026-01-22 15:00:12 | transform_dim_payment_type | INFO |   - Payment types: credit_card, boleto, voucher, debit_card, not_defined
2026-01-22 15:04:18 | transform_dim_customers | INFO | CustomerDimensionBuilder initialized
2026-01-22 15:04:18 | transform_dim_customers | INFO |   - Segmentation rules: {'new_customer_max_orders': 1, 'returning_customer_max_orders': 5, 'vip_customer_min_orders': 6, 'vip_customer_min_value': 5000}
2026-01-22 15:04:18 | transform_dim_customers | INFO | Building customer dimension...
